Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8
id;name_short;type;sector;sex;county;source;so
scient;scient;keinmensch;church;;;;is
jh;jh;mensch;;male;BY;website;
snzd;snzd;keinmensch;nonprofit;;BY;website;is
jfmr;jfmr;keinmensch;nonprofit;;BY;website;is
wise;wise;keinmensch;nonprofit;;;blog;is
dezg;dezg;keinmensch;nonprofit;;;self;is
able;able;keinmensch;nonprofit;;;self;is
kvpm;kvpm;keinmensch;nonprofit;;BY;self;is
nepi;nepi;keinmensch;verl;;;website;is
ncn;ncn;keinmensch;nonprofit;;;self;is
bt;bt;mensch;;male;;website;
rf;rf;mensch;;male;;blog;
seao;seao;keinmensch;church;;;self;is
djr;djr;mensch;;male;BY;blog;
fi;fi;keinmensch;immos;;BY;blog;isn
ziel;ziel;keinmensch;learn;;;blog;is
ncm;ncm;mensch;;female;HH;website;
ma;ma;mensch;;male;;website;
heh;heh;mensch;;female;;self;
clw;clw;mensch;;female;;self;
siw;siw;mensch;;female;;self;
sckb;sckb;keinmensch;church;;BY;self;is
cckm;cckm;keinmensch;nonprofit;;BY;self;is
biw;biw;mensch;;female;;self;
zbw;zbw;keinmensch;nonprofit;;BY;self;is
maa;maa;mensch;;female;BY;self;
ana;ana;mensch;;male;BY;self;
roimm;roimm;keinmensch;immos;;BY;blog;isn
sccm;sccm;keinmensch;;;BY;blog;is
mine;mine;mensch;;female;BY;blog;
fhi;fhi;keinmensch;immos;;BY;blog;isn
lk;lk;mensch;;female;BY;website;
af;af;mensch;;female;;website;
ccd;ccd;keinmensch;nonprofit;;NW;website;is
evs;evs;mensch;;female;;website;
ulpo;ulpo;mensch;;female;;website;
ilku;ilku;mensch;;female;;website;
rg;rg;mensch;;male;;website;
dg;dg;mensch;;female;;website;
nmk;nmk;keinmensch;nonprofit;;;blog;isn
sckbw;sckbw;keinmensch;church;;BW;self;is
huk;huk;mensch;;male;;self;
gak;gak;mensch;;female;;self;
bih;bih;mensch;;female;;self;
sckbe;sckbe;keinmensch;church;;BE;self;is
sab;sab;mensch;;female;;self;
barl;barl;mensch;;female;;self;
sah;sah;mensch;;female;;self;
sckhh;sckhh;keinmensch;church;;HH;self;is
gec;gec;mensch;;male;;self;
pim;pim;mensch;;female;;self;
jac;jac;mensch;;female;;self;
sckhe;sckhe;keinmensch;church;;HE;self;is
mig;mig;mensch;;female;;self;
klk;klk;mensch;;male;;self;
kahg;kahg;mensch;;female;;self;
scknw;scknw;keinmensch;church;;NW;self;is
anl;anl;mensch;;female;;self;
marb;marb;mensch;;female;;self;
get;get;mensch;;female;;self;
fig;fig;keinmensch;immos;;BW;website;isn
beg;beg;mensch;;male;BW;website;
mag;mag;mensch;;female;BW;website;
axz;axz;mensch;;male;BW;website;
frb;frb;mensch;;male;BW;website;
agk;agk;mensch;;female;BW;website;
peo;peo;mensch;;male;BW;website;
mos;mos;mensch;;female;BW;website;
chz;chz;mensch;;female;BW;website;
pls;pls;keinmensch;learn;;BW;website;is
moa;moa;mensch;;female;BW;website;
neim;neim;keinmensch;immos;;BW;other;isn
ane;ane;mensch;;male;BW;other;
voku;voku;mensch;;male;;self;
thr;thr;mensch;;male;;self;
anq;anq;mensch;;male;BY;self;
heiv;heiv;mensch;;female;BE;self;
robo;robo;mensch;;male;BE;self;
heno;heno;mensch;;male;BE;self;
wehoim;wehoim;keinmensch;immos;;;website;isn
utei;utei;mensch;;female;BY;website;
presckb;presckb;keinmensch;verl;;BY;self;is
arpre;arpre;keinmensch;verl;;BY;website;isn
tomba;tomba;keinmensch;nonprofit;;BY;website;isn
masc;masc;mensch;;female;;website;
stkc;stkc;mensch;;female;;website;
cohu;cohu;mensch;;female;;website;
chj;chj;mensch;;male;;website;
alfi;alfi;mensch;;male;NW;journalism;
alfiinsta;alfiinsta;keinmensch;immos;male;;socials;isn
sahive;sahive;keinmensch;verl;;BW;journalism;isn
sahi;sahi;mensch;;female;;blog;
sashi;sashi;mensch;;male;;blog;
baebr;baebr;mensch;;female;;website;
kede;kede;keinmensch;verl;;BW;website;isn
mihi;mihi;mensch;;male;;blog;
mewibe;mewibe;keinmensch;nonprofit;;BW;website;isn
sadi;sadi;mensch;;female;;blog;
cadoim;cadoim;keinmensch;immos;;HE;blog;isn
tada;tada;mensch;;female;;blog;
beco;beco;mensch;;male;;blog;
thdo;thdo;mensch;;male;;blog;
bost;bost;keinmensch;nonprofit;;;website;
ekm;ekm;keinmensch;nonprofit;;;website;
tgw;tgw;keinmensch;nonprofit;;;website;
tsm;tsm;keinmensch;nonprofit;;;website;
mram;mram;keinmensch;nonprofit;;;website;
vmram;vmram;keinmensch;nonprofit;;;website;
bius;bius;keinmensch;nonprofit;;;website;
